"P", "MREA", "AVGTA", "MREX", "AVGTX", "SPDUX", "MREY", "AVGTY", "SPDUY", "MREZ", "AVGTZ", "SPDUZ"
1, 2.25000699755135614e+00, 4758848614, 3.37508797816757600e+00, 2852806706, 1.668129, 4.49993966820100066e+00, 1403556094, 3.390565, 3.37494338085607692e+00, 641001565, 7.424083
2, 3.04296749677701905e+00, 4640380326, 4.56410531529196462e+00, 2851658156, 1.627257, 3.04294174749031043e+00, 1402259984, 3.309215, 3.04273687686130989e+00, 640963118, 7.239699
3, 0.00000000000000000e+00, 613795392, 0.00000000000000000e+00, 315118509, 1.947824, 0.00000000000000000e+00, 166953415, 3.676447, 0.00000000000000000e+00, 89398275, 6.865853
4, 2.62629469088278800e+00, 4139224468, 2.62628218097162724e+00, 2851654403, 1.451517, 2.62629739811759144e+00, 1403533863, 2.949145, 2.62627228778560928e+00, 641185263, 6.455583
5, 1.01996708320645380e+00, 4165234513, 2.03988197282933736e+00, 2851647762, 1.460641, 2.03993478824710017e+00, 1403246894, 2.968283, 3.05982295924400605e+00, 640628865, 6.501790
6, 2.67882182383728962e+00, 4196084429, 1.33944537372659056e+00, 2851386829, 1.471594, 4.01823273575593465e+00, 1403433342, 2.989871, 2.67884870097824601e+00, 640767615, 6.548528
7, 0.00000000000000000e+00, 608857716, 0.00000000000000000e+00, 305548672, 1.992670, 0.00000000000000000e+00, 162853148, 3.738692, 0.00000000000000000e+00, 85611609, 7.111859
