"p=∞", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
19, 6.12902443680332976e+00, 4067801850, 6.12902443680332976e+00, 0.00000000000000000e+00, 1216181022, 6.12902443680332976e+00, 0.00000000000000000e+00,  609697440, 6.12902443680332976e+00, 0.00000000000000000e+00,  324005222, 6.12902443680332976e+00, 0.00000000000000000e+00,  169533558
20, 6.04811354517800392e+00, 4068884121, 6.04811354517800392e+00, 0.00000000000000000e+00, 1214284109, 6.04811354517800392e+00, 0.00000000000000000e+00,  609380798, 6.04811354517800392e+00, 0.00000000000000000e+00,  324685684, 6.04811354517800392e+00, 0.00000000000000000e+00,  169956586
21, 6.34337347820769981e+00, 4072214567, 6.34337347820769981e+00, 0.00000000000000000e+00, 1217568769, 6.34337347820769981e+00, 0.00000000000000000e+00,  609536979, 6.34337347820769981e+00, 0.00000000000000000e+00,  323748528, 6.34337347820769981e+00, 0.00000000000000000e+00,  169527564
22, 6.13480252069263265e+00, 4067649799, 6.13480252069263265e+00, 0.00000000000000000e+00, 1212717809, 6.13480252069263265e+00, 0.00000000000000000e+00,  610055376, 6.13480252069263265e+00, 0.00000000000000000e+00,  323767151, 6.13480252069263265e+00, 0.00000000000000000e+00,  169255946
23, 6.12625768544255589e+00, 4071878711, 6.12625768544255589e+00, 0.00000000000000000e+00, 1215691692, 6.12625768544255589e+00, 0.00000000000000000e+00,  609262976, 6.12625768544255589e+00, 0.00000000000000000e+00,  324068327, 6.12625768544255589e+00, 0.00000000000000000e+00,  169325838
24, 6.38819254361083377e+00, 4071742416, 6.38819254361083377e+00, 0.00000000000000000e+00, 1213321044, 6.38819254361083377e+00, 0.00000000000000000e+00,  609711762, 6.38819254361083377e+00, 0.00000000000000000e+00,  324196243, 6.38819254361083377e+00, 0.00000000000000000e+00,  169796496
25, 6.10770967155524325e+00, 4067110072, 6.10770967155524325e+00, 0.00000000000000000e+00, 1214995032, 6.10770967155524325e+00, 0.00000000000000000e+00,  609701990, 6.10770967155524325e+00, 0.00000000000000000e+00,  324096883, 6.10770967155524325e+00, 0.00000000000000000e+00,  169489386
26, 6.30465435723208856e+00, 4081647675, 6.30465435723208856e+00, 0.00000000000000000e+00, 1213878321, 6.30465435723208856e+00, 0.00000000000000000e+00,  609649228, 6.30465435723208856e+00, 0.00000000000000000e+00,  323597810, 6.30465435723208856e+00, 0.00000000000000000e+00,  169481638
27, 6.20503932384184509e+00, 4057978290, 6.20503932384184509e+00, 0.00000000000000000e+00, 1213190361, 6.20503932384184509e+00, 0.00000000000000000e+00,  609600675, 6.20503932384184509e+00, 0.00000000000000000e+00,  324067826, 6.20503932384184509e+00, 0.00000000000000000e+00,  170034686
28, 6.76236436784575723e+00, 4067081315, 6.76236436784575723e+00, 0.00000000000000000e+00, 1213375780, 6.76236436784575723e+00, 0.00000000000000000e+00,  609704405, 6.76236436784575723e+00, 0.00000000000000000e+00,  324054586, 6.76236436784575723e+00, 0.00000000000000000e+00,  169687855
29, 6.13918248112238274e+00, 4064535763, 6.13918248112238274e+00, 0.00000000000000000e+00, 1213683380, 6.13918248112238274e+00, 0.00000000000000000e+00,  609535265, 6.13918248112238274e+00, 0.00000000000000000e+00,  324531578, 6.13918248112238274e+00, 0.00000000000000000e+00,  169373478
30, 6.09835343262379848e+00, 4068719100, 6.09835343262379848e+00, 0.00000000000000000e+00, 1213996434, 6.09835343262379848e+00, 0.00000000000000000e+00,  609167164, 6.09835343262379848e+00, 0.00000000000000000e+00,  323607332, 6.09835343262379848e+00, 0.00000000000000000e+00,  169319854
31, 6.33469804571074757e+00, 4076519114, 6.33469804571074757e+00, 0.00000000000000000e+00, 1212937908, 6.33469804571074757e+00, 0.00000000000000000e+00,  610058974, 6.33469804571074757e+00, 0.00000000000000000e+00,  324214175, 6.33469804571074757e+00, 0.00000000000000000e+00,  169362604
