"p≈e", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 2.35988512073853781e+03, 1154477262445, 2.35988512073853781e+03, 0.00000000000000000e+00,    8293600539, 2.35988512073853781e+03, 0.00000000000000000e+00,    5695374266, 2.35988512073853826e+03, 1.73567770905650542e+00,    2800893527, 2.35988512073853826e+03, 1.73567770905650542e+00,    1280599079
 2, 2.35986690599093481e+03, 1177703311149, 2.35986690599093436e+03, 1.73569110596940357e+00,    8294051973, 2.35986690599093481e+03, 0.00000000000000000e+00,    5694541281, 2.35986690599093481e+03, 0.00000000000000000e+00,    2804585027, 2.35986690599093481e+03, 0.00000000000000000e+00,    1280818536
 3, 2.35985828983436204e+03, 1171538757653, 2.35985828983436204e+03, 0.00000000000000000e+00,    8292362629, 2.35985828983436204e+03, 0.00000000000000000e+00,    5693308483, 2.35985828983436159e+03, 1.73569744320854857e+00,    2803182296, 2.35985828983436204e+03, 0.00000000000000000e+00,    1281116976
 4, 2.35983776006329663e+03, 1180578373886, 2.35983776006329663e+03, 0.00000000000000000e+00,    8291620343, 2.35983776006329617e+03, 1.73571254317505930e+00,    5694613208, 2.35983776006329663e+03, 0.00000000000000000e+00,    2802855711, 2.35983776006329663e+03, 0.00000000000000000e+00,    1280695222
 5, 2.35982350410228173e+03, 1173013686651, 2.35982350410228173e+03, 0.00000000000000000e+00,    8292862815, 2.35982350410228173e+03, 0.00000000000000000e+00,    5694734868, 2.35982350410228173e+03, 0.00000000000000000e+00,    2805718276, 2.35982350410228219e+03, 1.73572302881108476e+00,    1282083360
 6, 2.35994539985947949e+03, 1174711187127, 2.35994539985947949e+03, 0.00000000000000000e+00,    8294007139, 2.35994539985947949e+03, 0.00000000000000000e+00,    5698602486, 2.35994539985947995e+03, 1.73563337535007900e+00,    2803511297, 2.35994539985947949e+03, 0.00000000000000000e+00,    1281477539
 7, 2.35991822094038434e+03, 1173235199553, 2.35991822094038434e+03, 0.00000000000000000e+00,    8293642626, 2.35991822094038434e+03, 0.00000000000000000e+00,    5696364735, 2.35991822094038434e+03, 0.00000000000000000e+00,    2801676446, 2.35991822094038434e+03, 0.00000000000000000e+00,    1279592604
 8, 2.35991439913585964e+03, 1172482575389, 2.35991439913585964e+03, 0.00000000000000000e+00,    8294196236, 2.35991439913586055e+03, 3.47131235056648713e+00,    5696004282, 2.35991439913586055e+03, 3.47131235056648713e+00,    2803677550, 2.35991439913586009e+03, 1.73565617528324356e+00,    1281150524
 9, 2.35993182520629352e+03, 1180858920194, 2.35993182520629352e+03, 0.00000000000000000e+00,    8293891582, 2.35993182520629398e+03, 1.73564335895251887e+00,    5693896201, 2.35993182520629398e+03, 1.73564335895251887e+00,    2803752053, 2.35993182520629398e+03, 1.73564335895251887e+00,    1281085664
10, 2.35981516472385829e+03, 1175010191195, 2.35981516472385829e+03, 0.00000000000000000e+00,    8293224120, 2.35981516472385829e+03, 0.00000000000000000e+00,    5696520685, 2.35981516472385829e+03, 0.00000000000000000e+00,    2803780519, 2.35981516472385783e+03, 1.73572916270300648e+00,    1280467445
11, 2.35980730113268874e+03, 1187694520494, 2.35980730113268874e+03, 0.00000000000000000e+00,    8295331890, 2.35980730113268874e+03, 0.00000000000000000e+00,    5694128407, 2.35980730113268828e+03, 1.73573494667719386e+00,    2803387219, 2.35980730113268919e+03, 1.73573494667719386e+00,    1280730764
12, 2.35986029581038702e+03, 1171817571958, 2.35986029581038656e+03, 1.73569596779601509e+00,    8291497339, 2.35986029581038702e+03, 0.00000000000000000e+00,    5694532060, 2.35986029581038702e+03, 0.00000000000000000e+00,    2802970667, 2.35986029581038747e+03, 1.73569596779601509e+00,    1280478050
13, 2.35992167195735738e+03, 1181392193371, 2.35992167195735738e+03, 0.00000000000000000e+00,    8293375910, 2.35992167195735738e+03, 0.00000000000000000e+00,    5695173502, 2.35992167195735692e+03, 1.73565082632709200e+00,    2802548782, 2.35992167195735738e+03, 0.00000000000000000e+00,    1282154483
14, 2.35989578496545573e+03, 1184237503597, 2.35989578496545573e+03, 0.00000000000000000e+00,    8292940214, 2.35989578496545619e+03, 1.73566986563347636e+00,    5695533384, 2.35989578496545573e+03, 0.00000000000000000e+00,    2803774415, 2.35989578496545619e+03, 1.73566986563347636e+00,    1280687654
15, 2.35989601401515529e+03, 1173278269669, 2.35989601401515483e+03, 1.73566969717068864e+00,    8292986561, 2.35989601401515529e+03, 0.00000000000000000e+00,    5695195462, 2.35989601401515529e+03, 0.00000000000000000e+00,    2804305371, 2.35989601401515529e+03, 0.00000000000000000e+00,    1279922055
16, 2.35986078284775613e+03, 1170951292569, 2.35986078284775658e+03, 1.73569560957624036e+00,    8291160411, 2.35986078284775658e+03, 1.73569560957624036e+00,    5694746856, 2.35986078284775704e+03, 3.47139121915248072e+00,    2803544713, 2.35986078284775658e+03, 1.73569560957624036e+00,    1280999083
17, 2.35988536431187867e+03, 1182853075038, 2.35988536431187822e+03, 1.73567752991016855e+00,    8291857291, 2.35988536431187867e+03, 0.00000000000000000e+00,    5696114135, 2.35988536431187867e+03, 0.00000000000000000e+00,    2803385626, 2.35988536431187867e+03, 0.00000000000000000e+00,    1280440784
18, 2.35988261762028151e+03, 1181249809911, 2.35988261762028196e+03, 1.73567955008305819e+00,    8293075827, 2.35988261762028196e+03, 1.73567955008305819e+00,    5695883914, 2.35988261762028196e+03, 1.73567955008305819e+00,    2804276625, 2.35988261762028242e+03, 3.47135910016611637e+00,    1279492482
19, 2.35988181777685122e+03, 1183386658964, 2.35988181777685122e+03, 0.00000000000000000e+00,    8293838570, 2.35988181777685122e+03, 0.00000000000000000e+00,    5697238875, 2.35988181777685122e+03, 0.00000000000000000e+00,    2802464307, 2.35988181777685122e+03, 0.00000000000000000e+00,    1280261861
20, 2.35992107092286142e+03, 1172111720236, 2.35992107092286142e+03, 0.00000000000000000e+00,    8291984074, 2.35992107092286187e+03, 1.73565126836985040e+00,    5696095683, 2.35992107092286187e+03, 1.73565126836985040e+00,    2803264717, 2.35992107092286187e+03, 1.73565126836985040e+00,    1281573281
21, 2.35991485652772690e+03, 1163324025824, 2.35991485652772690e+03, 0.00000000000000000e+00,    8293046940, 2.35991485652772735e+03, 1.73565583888338715e+00,    5695628974, 2.35991485652772690e+03, 0.00000000000000000e+00,    2802804062, 2.35991485652772690e+03, 0.00000000000000000e+00,    1276844994
22, 2.35975895371959950e+03, 1152021726491, 2.35975895371959950e+03, 0.00000000000000000e+00,    8292321825, 2.35975895371959950e+03, 0.00000000000000000e+00,    5696330746, 2.35975895371959996e+03, 1.73577050890881424e+00,    2803801847, 2.35975895371959996e+03, 1.73577050890881424e+00,    1280902230
23, 2.35990357169966546e+03, 1188075630895, 2.35990357169966546e+03, 0.00000000000000000e+00,    8293168752, 2.35990357169966546e+03, 0.00000000000000000e+00,    5696197098, 2.35990357169966546e+03, 0.00000000000000000e+00,    2803108375, 2.35990357169966546e+03, 0.00000000000000000e+00,    1281172745
24, 2.35983783252352805e+03, 1159206731356, 2.35983783252352760e+03, 1.73571248987896798e+00,    8293119929, 2.35983783252352805e+03, 0.00000000000000000e+00,    5695872638, 2.35983783252352805e+03, 0.00000000000000000e+00,    2803308407, 2.35983783252352805e+03, 0.00000000000000000e+00,    1280280263
25, 2.35989094308286440e+03, 1183352752012, 2.35989094308286394e+03, 1.73567342677672820e+00,    8292854285, 2.35989094308286440e+03, 0.00000000000000000e+00,    5703193505, 2.35989094308286440e+03, 0.00000000000000000e+00,    2803204418, 2.35989094308286394e+03, 1.73567342677672820e+00,    1280945410
26, 2.35985499321485304e+03, 1181745234830, 2.35985499321485304e+03, 0.00000000000000000e+00,    8294538998, 2.35985499321485304e+03, 0.00000000000000000e+00,    5696112171, 2.35985499321485258e+03, 1.73569986790585817e+00,    2804155234, 2.35985499321485258e+03, 1.73569986790585817e+00,    1281350045
