"p≈2/3", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 5.78144751909317188e+12, 590647412110, 5.78144751909317188e+12, 0.00000000000000000e+00,   4640262834, 5.78144751909316992e+12, 3.04286876017087149e+00,   2852893058, 5.78144751909317090e+12, 1.52143438008543574e+00,   1402930022, 5.78144751909317090e+12, 1.52143438008543574e+00,    642594598
 2, 5.78125529544760449e+12, 580951386847, 5.78125529544760352e+12, 1.52148496696459690e+00,   4639669422, 5.78125529544760352e+12, 1.52148496696459690e+00,   2852010368, 5.78125529544760352e+12, 1.52148496696459690e+00,   1402576064, 5.78125529544760449e+12, 0.00000000000000000e+00,    640949807
 3, 5.78138572194205957e+12, 590898456163, 5.78138572194205957e+12, 0.00000000000000000e+00,   4639687865, 5.78138572194205762e+12, 3.04290128535248527e+00,   2851630681, 5.78138572194205957e+12, 0.00000000000000000e+00,   1401188718, 5.78138572194205859e+12, 1.52145064267624264e+00,    639598275
 4, 5.78137702361777344e+12, 591474273673, 5.78137702361777246e+12, 1.52145293176256624e+00,   4640768141, 5.78137702361777148e+12, 3.04290586352513248e+00,   2851987535, 5.78137702361777246e+12, 1.52145293176256624e+00,   1402449662, 5.78137702361777246e+12, 1.52145293176256624e+00,    641251425
 5, 5.78159111548665527e+12, 592746704717, 5.78159111548665430e+12, 1.52139659247895542e+00,   4640511147, 5.78159111548665332e+12, 3.04279318495791085e+00,   2851819557, 5.78159111548665430e+12, 1.52139659247895542e+00,   1402549363, 5.78159111548665527e+12, 0.00000000000000000e+00,    641234696
 6, 5.78144984998665820e+12, 595300715849, 5.78144984998665820e+12, 0.00000000000000000e+00,   4639919470, 5.78144984998665820e+12, 0.00000000000000000e+00,   2851620146, 5.78144984998665723e+12, 1.52143376669232877e+00,   1402076771, 5.78144984998665918e+12, 1.52143376669232877e+00,    641074917
 7, 5.78138509379893945e+12, 577512718138, 5.78138509379893848e+12, 1.52145080798070498e+00,   4640736438, 5.78138509379893945e+12, 0.00000000000000000e+00,   2851744654, 5.78138509379893945e+12, 0.00000000000000000e+00,   1402420354, 5.78138509379893945e+12, 0.00000000000000000e+00,    640815738
 8, 5.78154745503804688e+12, 593052946341, 5.78154745503804590e+12, 1.52140808159294361e+00,   4639690290, 5.78154745503804492e+12, 3.04281616318588721e+00,   2851825711, 5.78154745503804492e+12, 3.04281616318588721e+00,   1402225444, 5.78154745503804590e+12, 1.52140808159294361e+00,    640853575
 9, 5.78145265430185059e+12, 596478507571, 5.78145265430184961e+12, 1.52143302871520048e+00,   4640938074, 5.78145265430184961e+12, 1.52143302871520048e+00,   2851486437, 5.78145265430184961e+12, 1.52143302871520048e+00,   1403080810, 5.78145265430185059e+12, 0.00000000000000000e+00,    641676016
10, 5.78140948491409082e+12, 588725294530, 5.78140948491408984e+12, 1.52144438915118752e+00,   4638878555, 5.78140948491408984e+12, 1.52144438915118752e+00,   2852457241, 5.78140948491409082e+12, 0.00000000000000000e+00,   1402514432, 5.78140948491409082e+12, 0.00000000000000000e+00,    641263583
11, 5.78125992573002832e+12, 595122867747, 5.78125992573002637e+12, 3.04296749677701905e+00,   4640092239, 5.78125992573002734e+12, 1.52148374838850953e+00,   2851384081, 5.78125992573002832e+12, 0.00000000000000000e+00,   1402027747, 5.78125992573002734e+12, 1.52148374838850953e+00,    641198452
12, 5.78169810810685645e+12, 595003365761, 5.78169810810685547e+12, 1.52136843843065495e+00,   4640193152, 5.78169810810685352e+12, 4.56410531529196462e+00,   2851332451, 5.78169810810685645e+12, 0.00000000000000000e+00,   1402391628, 5.78169810810685449e+12, 3.04273687686130989e+00,    641074576
13, 5.78139151320450684e+12, 588792317817, 5.78139151320450586e+12, 1.52144911862793153e+00,   4639641899, 5.78139151320450781e+12, 1.52144911862793153e+00,   2850497352, 5.78139151320450586e+12, 1.52144911862793153e+00,   1402079126, 5.78139151320450684e+12, 0.00000000000000000e+00,    640692432
14, 5.78148860954745215e+12, 591968923811, 5.78148860954745117e+12, 1.52142356687900082e+00,   4640685550, 5.78148860954745215e+12, 0.00000000000000000e+00,   2852493755, 5.78148860954745215e+12, 0.00000000000000000e+00,   1401284149, 5.78148860954745312e+12, 1.52142356687900082e+00,    639294703
15, 5.78139012164860938e+12, 596699469049, 5.78139012164860938e+12, 0.00000000000000000e+00,   4639794251, 5.78139012164860840e+12, 1.52144948483423303e+00,   2852277125, 5.78139012164860938e+12, 0.00000000000000000e+00,   1402425115, 5.78139012164860840e+12, 1.52144948483423303e+00,    641636805
16, 5.78136065007051953e+12, 589466810896, 5.78136065007051953e+12, 0.00000000000000000e+00,   4644751967, 5.78136065007051953e+12, 0.00000000000000000e+00,   2851078956, 5.78136065007051953e+12, 0.00000000000000000e+00,   1402874564, 5.78136065007051953e+12, 0.00000000000000000e+00,    640892405
17, 5.78130884658744824e+12, 588266751708, 5.78130884658744629e+12, 3.04294174749031043e+00,   4640354234, 5.78130884658744629e+12, 3.04294174749031043e+00,   2851297802, 5.78130884658744629e+12, 3.04294174749031043e+00,   1402703428, 5.78130884658744824e+12, 0.00000000000000000e+00,    641241792
18, 5.78136363218807715e+12, 589812432309, 5.78136363218807617e+12, 1.52145645591902268e+00,   4641988181, 5.78136363218807617e+12, 1.52145645591902268e+00,   2852606826, 5.78136363218807617e+12, 1.52145645591902268e+00,   1401523432, 5.78136363218807715e+12, 0.00000000000000000e+00,    639922704
19, 5.78151205858410645e+12, 588554231887, 5.78151205858410645e+12, 0.00000000000000000e+00,   4639979028, 5.78151205858410645e+12, 0.00000000000000000e+00,   2851719616, 5.78151205858410645e+12, 0.00000000000000000e+00,   1402215631, 5.78151205858410645e+12, 0.00000000000000000e+00,    641331760
20, 5.78155351899067969e+12, 596214349524, 5.78155351899067773e+12, 3.04281297174382503e+00,   4639670094, 5.78155351899067871e+12, 1.52140648587191252e+00,   2851400479, 5.78155351899068066e+12, 1.52140648587191252e+00,   1402097889, 5.78155351899067969e+12, 0.00000000000000000e+00,    641282496
21, 5.78089321488395508e+12, 588335351969, 5.78089321488395410e+12, 1.52158026367981813e+00,   4639284273, 5.78089321488395605e+12, 1.52158026367981813e+00,   2851397462, 5.78089321488395605e+12, 1.52158026367981813e+00,   1402044535, 5.78089321488395410e+12, 1.52158026367981813e+00,    641529898
