"p=∞", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
19, 6.12902443680332976e+00, 2043915642, 6.12902443680332976e+00, 0.00000000000000000e+00,  610776292, 6.12902443680332976e+00, 0.00000000000000000e+00,  305456480, 6.12902443680332976e+00, 0.00000000000000000e+00,  162830148, 6.12902443680332976e+00, 0.00000000000000000e+00,   85514838
20, 6.04811354517800392e+00, 2045411519, 6.04811354517800392e+00, 0.00000000000000000e+00,  608004166, 6.04811354517800392e+00, 0.00000000000000000e+00,  305616509, 6.04811354517800392e+00, 0.00000000000000000e+00,  162587127, 6.04811354517800392e+00, 0.00000000000000000e+00,   85370584
21, 6.34337347820769981e+00, 2050955240, 6.34337347820769981e+00, 0.00000000000000000e+00,  610019163, 6.34337347820769981e+00, 0.00000000000000000e+00,  306157829, 6.34337347820769981e+00, 0.00000000000000000e+00,  162952390, 6.34337347820769981e+00, 0.00000000000000000e+00,   85985886
22, 6.13480252069263265e+00, 2049309386, 6.13480252069263265e+00, 0.00000000000000000e+00,  608343040, 6.13480252069263265e+00, 0.00000000000000000e+00,  306023549, 6.13480252069263265e+00, 0.00000000000000000e+00,  163375448, 6.13480252069263265e+00, 0.00000000000000000e+00,   85788610
23, 6.12625768544255589e+00, 2042331110, 6.12625768544255589e+00, 0.00000000000000000e+00,  608140301, 6.12625768544255589e+00, 0.00000000000000000e+00,  305681229, 6.12625768544255589e+00, 0.00000000000000000e+00,  162832233, 6.12625768544255589e+00, 0.00000000000000000e+00,   85786295
24, 6.38819254361083377e+00, 2017943235, 6.38819254361083377e+00, 0.00000000000000000e+00,  619785290, 6.38819254361083377e+00, 0.00000000000000000e+00,  312934499, 6.38819254361083377e+00, 0.00000000000000000e+00,  165941498, 6.38819254361083377e+00, 0.00000000000000000e+00,   89854276
25, 6.10770967155524325e+00, 2039688784, 6.10770967155524325e+00, 0.00000000000000000e+00,  608155416, 6.10770967155524325e+00, 0.00000000000000000e+00,  305423413, 6.10770967155524325e+00, 0.00000000000000000e+00,  162842176, 6.10770967155524325e+00, 0.00000000000000000e+00,   85560543
26, 6.30465435723208856e+00, 2048748700, 6.30465435723208856e+00, 0.00000000000000000e+00,  608236574, 6.30465435723208856e+00, 0.00000000000000000e+00,  305596673, 6.30465435723208856e+00, 0.00000000000000000e+00,  162795609, 6.30465435723208856e+00, 0.00000000000000000e+00,   85721826
27, 6.14769392268069481e+00, 2042661104, 6.14769392268069481e+00, 0.00000000000000000e+00,  608047547, 6.14769392268069481e+00, 0.00000000000000000e+00,  305326740, 6.14769392268069481e+00, 0.00000000000000000e+00,  162850074, 6.14769392268069481e+00, 0.00000000000000000e+00,   85526896
28, 6.76236436784575723e+00, 2040545484, 6.76236436784575723e+00, 0.00000000000000000e+00,  608798251, 6.76236436784575723e+00, 0.00000000000000000e+00,  305495118, 6.76236436784575723e+00, 0.00000000000000000e+00,  162796050, 6.76236436784575723e+00, 0.00000000000000000e+00,   85548917
29, 5.98053128720907079e+00, 2047776003, 5.98053128720907079e+00, 0.00000000000000000e+00,  611086249, 5.98053128720907079e+00, 0.00000000000000000e+00,  305661663, 5.98053128720907079e+00, 0.00000000000000000e+00,  162762562, 5.98053128720907079e+00, 0.00000000000000000e+00,   85403620
30, 5.89789834973034832e+00, 2050413618, 5.89789834973034832e+00, 0.00000000000000000e+00,  608952919, 5.89789834973034832e+00, 0.00000000000000000e+00,  305312957, 5.89789834973034832e+00, 0.00000000000000000e+00,  162545590, 5.89789834973034832e+00, 0.00000000000000000e+00,   85370404
31, 6.11288097065131097e+00, 2042453243, 6.11288097065131097e+00, 0.00000000000000000e+00,  608024394, 6.11288097065131097e+00, 0.00000000000000000e+00,  305629078, 6.11288097065131097e+00, 0.00000000000000000e+00,  163159379, 6.11288097065131097e+00, 0.00000000000000000e+00,   85958253
