"P", "MREA", "AVGTA", "MREX", "AVGTX", "SPDUX", "MREY", "AVGTY", "SPDUY", "MREZ", "AVGTZ", "SPDUZ"
1, 2.95872321076282141e+00, 9466609977, 4.43790232374116034e+00, 5695449313, 1.662136, 2.95879062951039717e+00, 2802552632, 3.377853, 2.95870556755106096e+00, 1279846608, 7.396675
2, 4.17373307881350275e+00, 9230300968, 4.17401862167664994e+00, 5695763509, 1.620556, 5.56535816223553237e+00, 2803060193, 3.292937, 4.17401862167664994e+00, 1279379540, 7.214670
3, 1.25333342414687610e+00, 1224754322, 1.25334106843913973e+00, 628651622, 1.948224, 1.25338293520978628e+00, 332869952, 3.679378, 1.25338293520978628e+00, 177222366, 6.910834
4, 1.94513890270075862e+00, 8207337571, 1.94515657128017527e+00, 5695540936, 1.441011, 3.89026802088433543e+00, 2804004225, 2.927006, 3.89027649804060438e+00, 1280813235, 6.407911
5, 1.73571248987896798e+00, 8292978161, 3.47131235056648713e+00, 5695921860, 1.455950, 3.47139121915248072e+00, 2803187367, 2.958410, 3.47135910016611637e+00, 1280461443, 6.476554
6, 2.29594687164342526e+00, 8360682742, 2.29591114042598088e+00, 5695178567, 1.468028, 2.29588286715603251e+00, 2802855522, 2.982916, 2.29594355072534162e+00, 1279665864, 6.533489
7, 0.00000000000000000e+00, 1213958056, 0.00000000000000000e+00, 609463921, 1.991846, 0.00000000000000000e+00, 323990374, 3.746895, 0.00000000000000000e+00, 169491697, 7.162345
