"p=1", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
22, 2.68435331190076828e+08, 4509007237, 2.68435331190076828e+08, 0.00000000000000000e+00,  614039534, 2.68435331190076828e+08, 0.00000000000000000e+00,  315191254, 2.68435331190076828e+08, 0.00000000000000000e+00,  167400078, 2.68435331190076828e+08, 0.00000000000000000e+00,   88485653
23, 2.68437489824968338e+08, 4479019061, 2.68437489824968338e+08, 0.00000000000000000e+00,  613366497, 2.68437489824968338e+08, 0.00000000000000000e+00,  315013924, 2.68437489824968338e+08, 0.00000000000000000e+00,  166917894, 2.68437489824968338e+08, 0.00000000000000000e+00,   91919939
24, 2.68437926117097855e+08, 4493430743, 2.68437926117097855e+08, 0.00000000000000000e+00,  614163720, 2.68437926117097855e+08, 0.00000000000000000e+00,  315201819, 2.68437926117097855e+08, 0.00000000000000000e+00,  166964502, 2.68437926117097855e+08, 0.00000000000000000e+00,   88362689
25, 2.68435290043176651e+08, 4486521498, 2.68435290043176651e+08, 0.00000000000000000e+00,  613623331, 2.68435290043176651e+08, 0.00000000000000000e+00,  314996013, 2.68435290043176651e+08, 0.00000000000000000e+00,  167113476, 2.68435290043176651e+08, 0.00000000000000000e+00,   89258980
26, 2.68435860564252853e+08, 4467666097, 2.68435860564252853e+08, 0.00000000000000000e+00,  613453770, 2.68435860564252853e+08, 0.00000000000000000e+00,  315066376, 2.68435860564252853e+08, 0.00000000000000000e+00,  166530489, 2.68435860564252853e+08, 0.00000000000000000e+00,   89432501
27, 2.68436971072607040e+08, 4470712977, 2.68436971072607040e+08, 0.00000000000000000e+00,  613494684, 2.68436971072607040e+08, 0.00000000000000000e+00,  315081571, 2.68436971072607040e+08, 0.00000000000000000e+00,  166987976, 2.68436971072607040e+08, 0.00000000000000000e+00,   89153686
28, 2.68435956856977463e+08, 4466277538, 2.68435956856977463e+08, 0.00000000000000000e+00,  613632713, 2.68435956856977463e+08, 0.00000000000000000e+00,  315144496, 2.68435956856977463e+08, 0.00000000000000000e+00,  166710244, 2.68435956856977463e+08, 0.00000000000000000e+00,   88972789
29, 2.68443925737367630e+08, 4502967832, 2.68443925737367630e+08, 0.00000000000000000e+00,  613741604, 2.68443925737367630e+08, 0.00000000000000000e+00,  315131055, 2.68443925737367630e+08, 0.00000000000000000e+00,  166844444, 2.68443925737367630e+08, 0.00000000000000000e+00,   89372051
30, 2.68437706074998856e+08, 4495804830, 2.68437706074998856e+08, 0.00000000000000000e+00,  613861993, 2.68437706074998856e+08, 0.00000000000000000e+00,  315209516, 2.68437706074998856e+08, 0.00000000000000000e+00,  166969022, 2.68437706074998856e+08, 0.00000000000000000e+00,   90522890
31, 2.68440511358289719e+08, 4491819581, 2.68440511358289719e+08, 0.00000000000000000e+00,  613625597, 2.68440511358289719e+08, 0.00000000000000000e+00,  315340329, 2.68440511358289719e+08, 0.00000000000000000e+00,  167453653, 2.68440511358289719e+08, 0.00000000000000000e+00,   90580774
