"pŹ", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 4.76624080370637614e+02, 1164314465292, 4.76624080370637614e+02, 0.00000000000000000e+00, 8381293952, 4.76624080370637614e+02, 0.00000000000000000e+00, 5700799232, 4.76624080370637557e+02, 1.07422184712499824e+00, 2797658702, 4.76624080370637614e+02, 0.00000000000000000e+00, 1282022970
 2, 4.76619033248238566e+02, 1163321238533, 4.76619033248238566e+02, 0.00000000000000000e+00, 8381315511, 4.76619033248238622e+02, 1.07423322251869435e+00, 5700178067, 4.76619033248238622e+02, 1.07423322251869435e+00, 2798727492, 4.76619033248238509e+02, 1.07423322251869435e+00, 1277923116
 3, 4.76617122654642458e+02, 1163916850835, 4.76617122654642458e+02, 0.00000000000000000e+00, 8382040266, 4.76617122654642458e+02, 0.00000000000000000e+00, 5699605242, 4.76617122654642515e+02, 1.07423752874903755e+00, 2798808900, 4.76617122654642515e+02, 1.07423752874903755e+00, 1281211715
 4, 4.76620288662874316e+02, 1176560473809, 4.76620288662874373e+02, 1.07423039299560874e+00, 8382040196, 4.76620288662874373e+02, 1.07423039299560874e+00, 5700785400, 4.76620288662874373e+02, 1.07423039299560874e+00, 2799465638, 4.76620288662874430e+02, 2.14846078599121748e+00, 1281462504
 5, 4.76627109228133634e+02, 1160593430782, 4.76627109228133634e+02, 0.00000000000000000e+00, 8383269046, 4.76627109228133634e+02, 0.00000000000000000e+00, 5700701727, 4.76627109228133577e+02, 1.07421502068808139e+00, 2799963849, 4.76627109228133520e+02, 2.14843004137616278e+00, 1279795724
 6, 4.76622366015731131e+02, 1162431902966, 4.76622366015731131e+02, 0.00000000000000000e+00, 8381423721, 4.76622366015731131e+02, 0.00000000000000000e+00, 5700208577, 4.76622366015731188e+02, 1.07422571097534525e+00, 2799222295, 4.76622366015731131e+02, 0.00000000000000000e+00, 1281366443
 7, 4.76624796682697649e+02, 1176161248850, 4.76624796682697649e+02, 0.00000000000000000e+00, 8381281944, 4.76624796682697706e+02, 1.07422023269354283e+00, 5703585059, 4.76624796682697649e+02, 0.00000000000000000e+00, 2798165444, 4.76624796682697763e+02, 2.14844046538708566e+00, 1280482871
 8, 4.76628241968486350e+02, 1160944545318, 4.76628241968486350e+02, 0.00000000000000000e+00, 8380891030, 4.76628241968486464e+02, 2.14842493548190694e+00, 5699126396, 4.76628241968486350e+02, 0.00000000000000000e+00, 2799875204, 4.76628241968486350e+02, 0.00000000000000000e+00, 1281740978
 9, 4.76620910466684904e+02, 1139413416086, 4.76620910466684961e+02, 1.07422899154523788e+00, 8382434988, 4.76620910466684961e+02, 1.07422899154523788e+00, 5704445768, 4.76620910466684904e+02, 0.00000000000000000e+00, 2799483559, 4.76620910466684904e+02, 0.00000000000000000e+00, 1282095067
10, 4.76625084586566516e+02, 1166144924399, 4.76625084586566459e+02, 1.07421958381422233e+00, 8382729900, 4.76625084586566629e+02, 2.14843916762844467e+00, 5700806699, 4.76625084586566572e+02, 1.07421958381422233e+00, 2799297349, 4.76625084586566572e+02, 1.07421958381422233e+00, 1281371104
11, 4.76621657473366156e+02, 1171159527779, 4.76621657473366099e+02, 1.07422730791164445e+00, 8381965934, 4.76621657473366156e+02, 0.00000000000000000e+00, 5700032801, 4.76621657473366099e+02, 1.07422730791164445e+00, 2798943862, 4.76621657473366099e+02, 1.07422730791164445e+00, 1281466023
12, 4.76625737077200256e+02, 1172049667494, 4.76625737077200199e+02, 1.07421811323015093e+00, 8383901758, 4.76625737077200256e+02, 0.00000000000000000e+00, 5702879429, 4.76625737077200199e+02, 1.07421811323015093e+00, 2798752360, 4.76625737077200256e+02, 0.00000000000000000e+00, 1279594499
13, 4.76620719727527444e+02, 1160571517215, 4.76620719727527501e+02, 1.07422942144164035e+00, 8381545633, 4.76620719727527501e+02, 1.07422942144164035e+00, 5700381807, 4.76620719727527444e+02, 0.00000000000000000e+00, 2799328601, 4.76620719727527387e+02, 1.07422942144164035e+00, 1282032723
14, 4.76638478459587191e+02, 1166380133731, 4.76638478459587191e+02, 0.00000000000000000e+00, 8381330115, 4.76638478459587191e+02, 0.00000000000000000e+00, 5703879981, 4.76638478459587247e+02, 1.07418939749618003e+00, 2798423940, 4.76638478459587191e+02, 0.00000000000000000e+00, 1281481458
15, 4.76618974153100567e+02, 1173519728592, 4.76618974153100567e+02, 0.00000000000000000e+00, 8383250012, 4.76618974153100623e+02, 1.07423335571095890e+00, 5703275012, 4.76618974153100680e+02, 2.14846671142191781e+00, 2800127386, 4.76618974153100680e+02, 2.14846671142191781e+00, 1280924892
16, 4.76622738849536518e+02, 1161716139739, 4.76622738849536518e+02, 0.00000000000000000e+00, 8384303947, 4.76622738849536574e+02, 1.07422487067204653e+00, 5701424868, 4.76622738849536518e+02, 0.00000000000000000e+00, 2799935192, 4.76622738849536574e+02, 1.07422487067204653e+00, 1282307016
