"P", "MREA", "AVGTA", "MREX", "AVGTX", "SPDUX", "MREY", "AVGTY", "SPDUY", "MREZ", "AVGTZ", "SPDUZ"
1, 2.25000896354656366e+00, 9504123396, 3.37517244296317109e+00, 5695973209, 1.668569, 4.50000124531720669e+00, 2802548294, 3.391243, 3.37494498584283820e+00, 1280181368, 7.424044
2, 3.22751585546668140e+00, 9269325510, 4.30325512372492280e+00, 5696269640, 1.627262, 3.22748067871909683e+00, 2801546766, 3.308646, 3.22748067871909683e+00, 1279890982, 7.242277
3, 0.00000000000000000e+00, 1224734480, 0.00000000000000000e+00, 628697187, 1.948051, 0.00000000000000000e+00, 332746840, 3.680680, 0.00000000000000000e+00, 176708017, 6.930837
4, 1.60877976187776395e+00, 8268862569, 1.60877976187776395e+00, 5696103862, 1.451670, 1.60874593897680462e+00, 2803938184, 2.949017, 3.21749187795360925e+00, 1281208709, 6.453954
5, 3.16146748176522641e+00, 8321157881, 1.58077500535794901e+00, 5696129771, 1.460844, 1.58077500535794901e+00, 2803983989, 2.967620, 1.58078542738098249e+00, 1280894631, 6.496364
6, 2.14843622646030141e+00, 8382525379, 2.14844763753697476e+00, 5695796420, 1.471704, 2.14846671142191781e+00, 2802898717, 2.990663, 3.22261988086634465e+00, 1279892064, 6.549400
7, 0.00000000000000000e+00, 1214284965, 0.00000000000000000e+00, 609473912, 1.992349, 0.00000000000000000e+00, 324017852, 3.747587, 0.00000000000000000e+00, 169488154, 7.164424
