"p≈e", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 1.82873920265788342e+03, 592450973772, 1.82873920265788320e+03, 1.11989724779971023e+00,   4150838210, 1.82873920265788365e+03, 1.11989724779971023e+00,   2851499939, 1.82873920265788320e+03, 1.11989724779971023e+00,   1403157999, 1.82873920265788365e+03, 1.11989724779971023e+00,    641056163
 2, 1.82871246283121218e+03, 593006588707, 1.82871246283121218e+03, 0.00000000000000000e+00,   4152132701, 1.82871246283121241e+03, 1.11991362317796361e+00,   2850719305, 1.82871246283121241e+03, 1.11991362317796361e+00,   1404186406, 1.82871246283121218e+03, 0.00000000000000000e+00,    641017855
 3, 1.82870520385860164e+03, 593208580390, 1.82870520385860164e+03, 0.00000000000000000e+00,   4150555267, 1.82870520385860209e+03, 2.23983613726114239e+00,   2851694739, 1.82870520385860209e+03, 2.23983613726114239e+00,   1403282617, 1.82870520385860186e+03, 1.11991806863057120e+00,    640601763
 4, 1.82870070844578527e+03, 592057204008, 1.82870070844578549e+03, 1.11992082167485862e+00,   4150791673, 1.82870070844578549e+03, 1.11992082167485862e+00,   2851823757, 1.82870070844578527e+03, 0.00000000000000000e+00,   1403643150, 1.82870070844578572e+03, 2.23984164334971725e+00,    640943022
 5, 1.82875214768924729e+03, 593303298806, 1.82875214768924707e+03, 1.11988932047887801e+00,   4151126336, 1.82875214768924729e+03, 0.00000000000000000e+00,   2851890180, 1.82875214768924752e+03, 1.11988932047887801e+00,   1403871968, 1.82875214768924729e+03, 0.00000000000000000e+00,    640503226
 6, 1.82869638041007011e+03, 586108843050, 1.82869638041007033e+03, 1.11992347222820721e+00,   4151087787, 1.82869638041007033e+03, 1.11992347222820721e+00,   2851471202, 1.82869638041006988e+03, 1.11992347222820721e+00,   1403754396, 1.82869638041006988e+03, 1.11992347222820721e+00,    640459374
 7, 1.82873795525593141e+03, 588203122303, 1.82873795525593141e+03, 0.00000000000000000e+00,   4151641607, 1.82873795525593164e+03, 1.11989801169374359e+00,   2851525017, 1.82873795525593141e+03, 0.00000000000000000e+00,   1401948233, 1.82873795525593164e+03, 1.11989801169374359e+00,    639835081
 8, 1.82873488096460460e+03, 591481114160, 1.82873488096460483e+03, 1.11989989435742565e+00,   4151039877, 1.82873488096460505e+03, 2.23979978871485130e+00,   2851511826, 1.82873488096460483e+03, 1.11989989435742565e+00,   1403726993, 1.82873488096460505e+03, 2.23979978871485130e+00,    640688363
 9, 1.82868017639045911e+03, 593928134487, 1.82868017639045911e+03, 0.00000000000000000e+00,   4151160816, 1.82868017639045866e+03, 2.23986679184377158e+00,   2852686229, 1.82868017639045934e+03, 1.11993339592188579e+00,   1403776228, 1.82868017639045911e+03, 0.00000000000000000e+00,    640799891
10, 1.82873855927977365e+03, 587868607487, 1.82873855927977365e+03, 0.00000000000000000e+00,   4152836157, 1.82873855927977388e+03, 1.11989764179663820e+00,   2852129213, 1.82873855927977388e+03, 1.11989764179663820e+00,   1402299034, 1.82873855927977365e+03, 0.00000000000000000e+00,    641002699
