"p≈e", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
11, 1.82868880018104824e+03, 588421620709, 1.82868880018104824e+03, 0.00000000000000000e+00,   4152029363, 1.82868880018104846e+03, 1.11992811450326535e+00,   2852185322, 1.82868880018104824e+03, 0.00000000000000000e+00,   1403775576, 1.82868880018104801e+03, 1.11992811450326535e+00,    641539239
12, 1.82872077711110296e+03, 588673432757, 1.82872077711110296e+03, 0.00000000000000000e+00,   4152005989, 1.82872077711110342e+03, 2.23981706298027694e+00,   2852129624, 1.82872077711110319e+03, 1.11990853149013847e+00,   1402522230, 1.82872077711110319e+03, 1.11990853149013847e+00,    641144627
13, 1.82882891343162601e+03, 582227337053, 1.82882891343162601e+03, 0.00000000000000000e+00,   4151729841, 1.82882891343162623e+03, 1.11984231272739443e+00,   2850982202, 1.82882891343162601e+03, 0.00000000000000000e+00,   1402758115, 1.82882891343162623e+03, 1.11984231272739443e+00,    640160323
14, 1.82881626177359362e+03, 581779404470, 1.82881626177359362e+03, 0.00000000000000000e+00,   4151638700, 1.82881626177359385e+03, 1.11985005973964880e+00,   2852929231, 1.82881626177359340e+03, 1.11985005973964880e+00,   1401354752, 1.82881626177359362e+03, 0.00000000000000000e+00,    639432020
15, 1.82875394998884599e+03, 586671905316, 1.82875394998884576e+03, 1.11988821678962958e+00,   4152301532, 1.82875394998884576e+03, 1.11988821678962958e+00,   2851382217, 1.82875394998884599e+03, 0.00000000000000000e+00,   1402931997, 1.82875394998884622e+03, 1.11988821678962958e+00,    640956763
16, 1.82868093180035771e+03, 588339768956, 1.82868093180035726e+03, 2.23986586657708520e+00,   4151408538, 1.82868093180035771e+03, 0.00000000000000000e+00,   2851081873, 1.82868093180035794e+03, 1.11993293328854260e+00,   1403993790, 1.82868093180035748e+03, 1.11993293328854260e+00,    641197590
17, 1.82869142495305596e+03, 589722208429, 1.82869142495305573e+03, 1.11992650703908336e+00,   4151829982, 1.82869142495305618e+03, 1.11992650703908336e+00,   2852069234, 1.82869142495305596e+03, 0.00000000000000000e+00,   1403449964, 1.82869142495305618e+03, 1.11992650703908336e+00,    641860211
18, 1.82871294280009192e+03, 588188237518, 1.82871294280009215e+03, 1.11991332924244502e+00,   4151399708, 1.82871294280009170e+03, 1.11991332924244502e+00,   2851844966, 1.82871294280009192e+03, 0.00000000000000000e+00,   1403931265, 1.82871294280009192e+03, 0.00000000000000000e+00,    641135396
19, 1.82873158804948594e+03, 593509020347, 1.82873158804948616e+03, 1.11990191091103997e+00,   4151101027, 1.82873158804948594e+03, 0.00000000000000000e+00,   2851337764, 1.82873158804948616e+03, 1.11990191091103997e+00,   1403655187, 1.82873158804948594e+03, 0.00000000000000000e+00,    641054589
20, 1.82867210391383946e+03, 587871154812, 1.82867210391383946e+03, 0.00000000000000000e+00,   4150535050, 1.82867210391383992e+03, 2.23987667949518254e+00,   2851358442, 1.82867210391383946e+03, 0.00000000000000000e+00,   1403034824, 1.82867210391383992e+03, 2.23987667949518254e+00,    640851982
21, 1.82867303244622121e+03, 589748854502, 1.82867303244622121e+03, 0.00000000000000000e+00,   4151202502, 1.82867303244622076e+03, 2.23987554216883078e+00,   2851593996, 1.82867303244622121e+03, 0.00000000000000000e+00,   1403228282, 1.82867303244622099e+03, 1.11993777108441539e+00,    640827415
22, 1.82862373724102645e+03, 592602116603, 1.82862373724102622e+03, 1.11996796185636427e+00,   4150619806, 1.82862373724102645e+03, 0.00000000000000000e+00,   2852063511, 1.82862373724102667e+03, 1.11996796185636427e+00,   1403728477, 1.82862373724102645e+03, 0.00000000000000000e+00,    641128651
23, 1.82874134885991998e+03, 588659256077, 1.82874134885991998e+03, 0.00000000000000000e+00,   4151357711, 1.82874134885991998e+03, 0.00000000000000000e+00,   2851475893, 1.82874134885992021e+03, 1.11989593349369554e+00,   1402019438, 1.82874134885991975e+03, 1.11989593349369554e+00,    640633677
24, 1.82871258937680523e+03, 591169577431, 1.82871258937680477e+03, 2.23982709136149616e+00,   4151421097, 1.82871258937680545e+03, 1.11991354568074808e+00,   2851522561, 1.82871258937680523e+03, 0.00000000000000000e+00,   1404061376, 1.82871258937680545e+03, 1.11991354568074808e+00,    641012813
25, 1.82870783219510236e+03, 586275787556, 1.82870783219510236e+03, 0.00000000000000000e+00,   4151793869, 1.82870783219510258e+03, 1.11991645901230097e+00,   2852226989, 1.82870783219510258e+03, 1.11991645901230097e+00,   1402805845, 1.82870783219510281e+03, 2.23983291802460194e+00,    640980418
26, 1.82871237998630750e+03, 594500829089, 1.82871237998630750e+03, 0.00000000000000000e+00,   4150806647, 1.82871237998630750e+03, 0.00000000000000000e+00,   2850975798, 1.82871237998630750e+03, 0.00000000000000000e+00,   1402143214, 1.82871237998630750e+03, 0.00000000000000000e+00,    639017242
27, 1.82866635505476825e+03, 590298319096, 1.82866635505476825e+03, 0.00000000000000000e+00,   4151991676, 1.82866635505476847e+03, 1.11994186054714318e+00,   2851014156, 1.82866635505476825e+03, 0.00000000000000000e+00,   1403955332, 1.82866635505476825e+03, 0.00000000000000000e+00,    641348399
28, 1.82884343996859775e+03, 588961305333, 1.82884343996859775e+03, 0.00000000000000000e+00,   4149905155, 1.82884343996859820e+03, 2.23966683559874902e+00,   2851599749, 1.82884343996859775e+03, 0.00000000000000000e+00,   1403012894, 1.82884343996859820e+03, 2.23966683559874902e+00,    640843662
29, 1.82872155607431205e+03, 580730657415, 1.82872155607431228e+03, 1.11990805445330310e+00,   4152375653, 1.82872155607431250e+03, 2.23981610890660621e+00,   2853492704, 1.82872155607431228e+03, 1.11990805445330310e+00,   1403466311, 1.82872155607431205e+03, 0.00000000000000000e+00,    640782842
30, 1.82873596189194018e+03, 575839273079, 1.82873596189194018e+03, 0.00000000000000000e+00,   4150326548, 1.82873596189194041e+03, 1.11989923240816980e+00,   2852991886, 1.82873596189194018e+03, 0.00000000000000000e+00,   1403601794, 1.82873596189194018e+03, 0.00000000000000000e+00,    640912762
31, 1.82865890342900389e+03, 586455098628, 1.82865890342900434e+03, 2.23989284842536707e+00,   4150637647, 1.82865890342900389e+03, 0.00000000000000000e+00,   2851112824, 1.82865890342900389e+03, 0.00000000000000000e+00,   1404079247, 1.82865890342900411e+03, 1.11994642421268353e+00,    640917021
