"p=∞", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 9.99999997958997966e-01, 2042458134, 9.99999997958997966e-01, 0.00000000000000000e+00,  608118150, 9.99999997958997966e-01, 0.00000000000000000e+00,  305741368, 9.99999997958997966e-01, 0.00000000000000000e+00,  163251832, 9.99999997958997966e-01, 0.00000000000000000e+00,   85505336
 2, 9.99999997759356773e-01, 2044649377, 9.99999997759356773e-01, 0.00000000000000000e+00,  608572400, 9.99999997759356773e-01, 0.00000000000000000e+00,  305569821, 9.99999997759356773e-01, 0.00000000000000000e+00,  162725867, 9.99999997759356773e-01, 0.00000000000000000e+00,   85497699
 3, 9.99999999825309516e-01, 2057176686, 9.99999999825309516e-01, 0.00000000000000000e+00,  610293767, 9.99999999825309516e-01, 0.00000000000000000e+00,  305509251, 9.99999999825309516e-01, 0.00000000000000000e+00,  162597049, 9.99999999825309516e-01, 0.00000000000000000e+00,   85645199
 4, 9.99999999791196359e-01, 2046899227, 9.99999999791196359e-01, 0.00000000000000000e+00,  608579065, 9.99999999791196359e-01, 0.00000000000000000e+00,  305693377, 9.99999999791196359e-01, 0.00000000000000000e+00,  162916558, 9.99999999791196359e-01, 0.00000000000000000e+00,   85766489
 5, 9.99999998656210920e-01, 2041614204, 9.99999998656210920e-01, 0.00000000000000000e+00,  610113962, 9.99999998656210920e-01, 0.00000000000000000e+00,  305835194, 9.99999998656210920e-01, 0.00000000000000000e+00,  162993155, 9.99999998656210920e-01, 0.00000000000000000e+00,   85607472
 6, 9.99999999068894141e-01, 2049456385, 9.99999999068894141e-01, 0.00000000000000000e+00,  608086818, 9.99999999068894141e-01, 0.00000000000000000e+00,  305446506, 9.99999999068894141e-01, 0.00000000000000000e+00,  162743889, 9.99999999068894141e-01, 0.00000000000000000e+00,   85566848
 7, 9.99999993421287314e-01, 2042804564, 9.99999993421287314e-01, 0.00000000000000000e+00,  608448032, 9.99999993421287314e-01, 0.00000000000000000e+00,  305453803, 9.99999993421287314e-01, 0.00000000000000000e+00,  162728663, 9.99999993421287314e-01, 0.00000000000000000e+00,   85710049
 8, 9.99999999560802877e-01, 2041436794, 9.99999999560802877e-01, 0.00000000000000000e+00,  607996539, 9.99999999560802877e-01, 0.00000000000000000e+00,  305598287, 9.99999999560802877e-01, 0.00000000000000000e+00,  162678498, 9.99999999560802877e-01, 0.00000000000000000e+00,   85534273
 9, 9.99999995156994004e-01, 2044791957, 9.99999995156994004e-01, 0.00000000000000000e+00,  608138648, 9.99999995156994004e-01, 0.00000000000000000e+00,  305850359, 9.99999995156994004e-01, 0.00000000000000000e+00,  162874239, 9.99999995156994004e-01, 0.00000000000000000e+00,   85548856
10, 9.99999998909860466e-01, 2045663822, 9.99999998909860466e-01, 0.00000000000000000e+00,  608057570, 9.99999998909860466e-01, 0.00000000000000000e+00,  305765102, 9.99999998909860466e-01, 0.00000000000000000e+00,  162796801, 9.99999998909860466e-01, 0.00000000000000000e+00,   85474003
