"p=∞", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
22, 9.99999999928906647e-01, 2025526128, 9.99999999928906647e-01, 0.00000000000000000e+00, 607441577, 9.99999999928906647e-01, 0.00000000000000000e+00, 305102110, 9.99999999928906647e-01, 0.00000000000000000e+00, 164046008, 9.99999999928906647e-01, 0.00000000000000000e+00, 86806824
23, 9.99999999788240501e-01, 2025112141, 9.99999999788240501e-01, 0.00000000000000000e+00, 607371003, 9.99999999788240501e-01, 0.00000000000000000e+00, 305234075, 9.99999999788240501e-01, 0.00000000000000000e+00, 164718392, 9.99999999788240501e-01, 0.00000000000000000e+00, 87319518
24, 9.99999999678731655e-01, 2029183078, 9.99999999678731655e-01, 0.00000000000000000e+00, 607552473, 9.99999999678731655e-01, 0.00000000000000000e+00, 305273336, 9.99999999678731655e-01, 0.00000000000000000e+00, 162640780, 9.99999999678731655e-01, 0.00000000000000000e+00, 85043789
25, 9.99999998755736641e-01, 2026682921, 9.99999998755736641e-01, 0.00000000000000000e+00, 607215545, 9.99999998755736641e-01, 0.00000000000000000e+00, 305178406, 9.99999998755736641e-01, 0.00000000000000000e+00, 164630468, 9.99999998755736641e-01, 0.00000000000000000e+00, 87492879
26, 9.99999997891297454e-01, 2022152121, 9.99999997891297454e-01, 0.00000000000000000e+00, 607719979, 9.99999997891297454e-01, 0.00000000000000000e+00, 305294946, 9.99999997891297454e-01, 0.00000000000000000e+00, 165372062, 9.99999997891297454e-01, 0.00000000000000000e+00, 87547164
27, 9.99999998302303794e-01, 2025043943, 9.99999998302303794e-01, 0.00000000000000000e+00, 607066039, 9.99999998302303794e-01, 0.00000000000000000e+00, 305389194, 9.99999998302303794e-01, 0.00000000000000000e+00, 164558933, 9.99999998302303794e-01, 0.00000000000000000e+00, 87480008
28, 9.99999998714020677e-01, 2026844784, 9.99999998714020677e-01, 0.00000000000000000e+00, 607398907, 9.99999998714020677e-01, 0.00000000000000000e+00, 305090514, 9.99999998714020677e-01, 0.00000000000000000e+00, 165427640, 9.99999998714020677e-01, 0.00000000000000000e+00, 87787871
29, 9.99999998921349942e-01, 2028700854, 9.99999998921349942e-01, 0.00000000000000000e+00, 608657065, 9.99999998921349942e-01, 0.00000000000000000e+00, 305117195, 9.99999998921349942e-01, 0.00000000000000000e+00, 164327458, 9.99999998921349942e-01, 0.00000000000000000e+00, 87005954
30, 9.99999999279932439e-01, 2029527364, 9.99999999279932439e-01, 0.00000000000000000e+00, 608351620, 9.99999999279932439e-01, 0.00000000000000000e+00, 305276163, 9.99999999279932439e-01, 0.00000000000000000e+00, 164352406, 9.99999999279932439e-01, 0.00000000000000000e+00, 87125199
31, 9.99999999362618297e-01, 2029150232, 9.99999999362618297e-01, 0.00000000000000000e+00, 607163574, 9.99999999362618297e-01, 0.00000000000000000e+00, 305297401, 9.99999999362618297e-01, 0.00000000000000000e+00, 163999560, 9.99999999362618297e-01, 0.00000000000000000e+00, 86438171
