"pŹ", "MPV", "MPT", "REV", "REE", "RET", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT"
 1, 7.15413184144017578e+02, 596047034994, 7.15413184144017578e+02, 0.00000000000000000e+00,   4184508456, 7.15413184144017691e+02, 1.43134068912247181e+00,   2851420195, 7.15413184144017578e+02, 0.00000000000000000e+00,   1402515554, 7.15413184144017691e+02, 1.43134068912247181e+00,    640569719
 2, 7.15404475359863909e+02, 596677192121, 7.15404475359863909e+02, 0.00000000000000000e+00,   4184983122, 7.15404475359863909e+02, 0.00000000000000000e+00,   2851007952, 7.15404475359863909e+02, 0.00000000000000000e+00,   1401712248, 7.15404475359864023e+02, 1.43135811316375383e+00,    640496931
 3, 7.15397690235598247e+02, 597260537125, 7.15397690235598361e+02, 1.43137168874947207e+00,   4184922513, 7.15397690235598361e+02, 1.43137168874947207e+00,   2851073674, 7.15397690235598247e+02, 0.00000000000000000e+00,   1403603278, 7.15397690235598247e+02, 0.00000000000000000e+00,    639597041
 4, 7.15397166635841472e+02, 595707502261, 7.15397166635841586e+02, 1.43137273637155249e+00,   4184014555, 7.15397166635841586e+02, 1.43137273637155249e+00,   2851628175, 7.15397166635841586e+02, 1.43137273637155249e+00,   1403313368, 7.15397166635841586e+02, 1.43137273637155249e+00,    641119700
 5, 7.15417991692597411e+02, 596841599995, 7.15417991692597411e+02, 0.00000000000000000e+00,   4185286053, 7.15417991692597298e+02, 1.43133107063373233e+00,   2852438708, 7.15417991692597298e+02, 1.43133107063373233e+00,   1404694930, 7.15417991692597298e+02, 1.43133107063373233e+00,    640662674
 6, 7.15395424903429785e+02, 589801105133, 7.15395424903429671e+02, 1.43137622125306208e+00,   4184850857, 7.15395424903429785e+02, 0.00000000000000000e+00,   2850866525, 7.15395424903429785e+02, 0.00000000000000000e+00,   1403524976, 7.15395424903429898e+02, 1.43137622125306208e+00,    639961263
 7, 7.15414359472049910e+02, 591713047792, 7.15414359472050023e+02, 1.43133833762531015e+00,   4185867226, 7.15414359472050137e+02, 2.86267667525062031e+00,   2852139597, 7.15414359472049910e+02, 0.00000000000000000e+00,   1403894631, 7.15414359472050137e+02, 2.86267667525062031e+00,    641014768
 8, 7.15412369087790012e+02, 595166975973, 7.15412369087790012e+02, 0.00000000000000000e+00,   4185100063, 7.15412369087790125e+02, 1.43134231982274041e+00,   2851573499, 7.15412369087789898e+02, 1.43134231982274041e+00,   1403751209, 7.15412369087790012e+02, 0.00000000000000000e+00,    640582609
 9, 7.15393853266109886e+02, 597483044455, 7.15393853266109772e+02, 1.43137936582060044e+00,   4186128830, 7.15393853266109886e+02, 0.00000000000000000e+00,   2852514192, 7.15393853266109886e+02, 0.00000000000000000e+00,   1402158910, 7.15393853266109886e+02, 0.00000000000000000e+00,    640757143
10, 7.15411475931783912e+02, 591550752650, 7.15411475931783912e+02, 0.00000000000000000e+00,   4186657923, 7.15411475931783798e+02, 1.43134410678315804e+00,   2853105659, 7.15411475931783684e+02, 2.86268821356631609e+00,   1403731494, 7.15411475931783798e+02, 1.43134410678315804e+00,    641199314
11, 7.15395972885603328e+02, 592105240201, 7.15395972885603328e+02, 0.00000000000000000e+00,   4187657914, 7.15395972885603442e+02, 1.43137512484116902e+00,   2851444641, 7.15395972885603555e+02, 2.86275024968233804e+00,   1401652871, 7.15395972885603328e+02, 0.00000000000000000e+00,    639513739
12, 7.15404208061078634e+02, 592249187364, 7.15404208061078634e+02, 0.00000000000000000e+00,   4185299664, 7.15404208061078748e+02, 1.43135864796670953e+00,   2851585737, 7.15404208061078634e+02, 0.00000000000000000e+00,   1403396470, 7.15404208061078634e+02, 0.00000000000000000e+00,    640819165
13, 7.15456774907312024e+02, 585968548619, 7.15456774907312024e+02, 0.00000000000000000e+00,   4185901405, 7.15456774907312024e+02, 0.00000000000000000e+00,   2852020321, 7.15456774907312024e+02, 0.00000000000000000e+00,   1403732987, 7.15456774907312024e+02, 0.00000000000000000e+00,    640578840
14, 7.15440040271792213e+02, 585563952487, 7.15440040271792213e+02, 0.00000000000000000e+00,   4185640281, 7.15440040271792213e+02, 0.00000000000000000e+00,   2853074457, 7.15440040271792213e+02, 0.00000000000000000e+00,   1403411304, 7.15440040271792100e+02, 1.43128695957663665e+00,    641152175
15, 7.15420069959326383e+02, 590384112567, 7.15420069959326383e+02, 0.00000000000000000e+00,   4185472113, 7.15420069959326383e+02, 0.00000000000000000e+00,   2851364316, 7.15420069959326383e+02, 0.00000000000000000e+00,   1403625228, 7.15420069959326497e+02, 1.43132691267414014e+00,    640647499
16, 7.15388597493657016e+02, 591910557528, 7.15388597493657016e+02, 0.00000000000000000e+00,   4184550463, 7.15388597493657130e+02, 1.43138988178949722e+00,   2850724877, 7.15388597493657016e+02, 0.00000000000000000e+00,   1402813864, 7.15388597493657244e+02, 2.86277976357899444e+00,    640480974
17, 7.15394446316736435e+02, 593351220233, 7.15394446316736435e+02, 0.00000000000000000e+00,   4185527390, 7.15394446316736435e+02, 0.00000000000000000e+00,   2851446826, 7.15394446316736435e+02, 0.00000000000000000e+00,   1403190003, 7.15394446316736321e+02, 1.43137817922985433e+00,    640746979
18, 7.15405853591499977e+02, 591895407920, 7.15405853591500090e+02, 1.43135535564782890e+00,   4184952632, 7.15405853591500090e+02, 1.43135535564782890e+00,   2852088068, 7.15405853591500090e+02, 1.43135535564782890e+00,   1403182806, 7.15405853591500090e+02, 1.43135535564782890e+00,    641471633
19, 7.15410117678191796e+02, 597139277850, 7.15410117678191796e+02, 0.00000000000000000e+00,   4185117072, 7.15410117678191796e+02, 0.00000000000000000e+00,   2851474910, 7.15410117678191682e+02, 1.43134682428494697e+00,   1403864842, 7.15410117678191682e+02, 1.43134682428494697e+00,    640876318
