"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "MKV", "MKE", "MKT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
21, 225480702134323, 3.27683514766222797e+04, 0.00000000000000000e+00, 544398254968, 3.27683514766000153e+04, 6.11993435626659812e+03, 1319329341, 3.27683514766222797e+04, 0.00000000000000000e+00, 654143838, 3.27683514766222870e+04, 1.99997854779954176e+00, 16247461361, 3.27683514766222797e+04, 0.00000000000000000e+00, 11019804098, 3.27683514766222797e+04, 0.00000000000000000e+00, 11748795350, 3.27683514766222870e+04, 1.99997854779954176e+00, 3790369174, 3.27683514766222797e+04, 0.00000000000000000e+00, 2419190034, 3.27683514766222797e+04, 0.00000000000000000e+00, 2175155998, 3.27683514765275686e+04, 2.60337207567066362e+04, 20166523484
22,  70194609683243, 3.27662579695725253e+04, 0.00000000000000000e+00, 544551225077, 3.27662579695522800e+04, 5.56529586531784935e+03, 1327756970, 3.27662579695725217e+04, 1.00005316537607358e+00, 660143815, 3.27662579695725253e+04, 0.00000000000000000e+00, 16279779144, 3.27662579695725253e+04, 0.00000000000000000e+00, 11011272751, 3.27662579695725290e+04, 1.00005316537607358e+00, 11753856203, 3.27662579695725253e+04, 0.00000000000000000e+00, 3707125650, 3.27662579695725253e+04, 0.00000000000000000e+00, 2419267979, 3.27662579695725290e+04, 1.00005316537607358e+00, 2196045485, 3.27662579695533859e+04, 5.26127970304352311e+03, 20176368321
23, 260015387711235, 3.27682596627818348e+04, 0.00000000000000000e+00, 544416949650, 3.27682596627774838e+04, 1.19599052263714134e+03, 1328159173, 3.27682596627818421e+04, 1.99998415156712572e+00, 666637769, 3.27682596627818348e+04, 0.00000000000000000e+00, 16285745825, 3.27682596627818348e+04, 0.00000000000000000e+00, 11020169183, 3.27682596627818348e+04, 0.00000000000000000e+00, 11768294795, 3.27682596627818348e+04, 0.00000000000000000e+00, 3702906154, 3.27682596627818348e+04, 0.00000000000000000e+00, 2418224098, 3.27682596627818348e+04, 0.00000000000000000e+00, 2173578624, 3.27682596626963423e+04, 2.34998137809137297e+04, 20186484369
24, 232646152833469, 3.27676908178405865e+04, 0.00000000000000000e+00, 544286230407, 3.27676908178297563e+04, 2.97702808972086814e+03, 1320483698, 3.27676908178405865e+04, 0.00000000000000000e+00, 659500869, 3.27676908178405865e+04, 0.00000000000000000e+00, 16253594871, 3.27676908178405865e+04, 0.00000000000000000e+00, 11030502835, 3.27676908178405865e+04, 0.00000000000000000e+00, 11767472003, 3.27676908178405865e+04, 0.00000000000000000e+00, 3714939652, 3.27676908178405829e+04, 1.00000943557973399e+00, 2414320142, 3.27676908178405865e+04, 0.00000000000000000e+00, 2148484941, 3.27676908178005433e+04, 1.10071038574261329e+04, 20163310055
25, 217361901530733, 3.27680833424934026e+04, 0.00000000000000000e+00, 544249330162, 3.27680833424753218e+04, 4.96998735927921462e+03, 1326354026, 3.27680833424934026e+04, 0.00000000000000000e+00, 657240647, 3.27680833424934026e+04, 0.00000000000000000e+00, 16253759572, 3.27680833424934099e+04, 1.99999491319083078e+00, 11036180071, 3.27680833424934026e+04, 0.00000000000000000e+00, 11762941833, 3.27680833424934026e+04, 0.00000000000000000e+00, 3827208090, 3.27680833424934026e+04, 0.00000000000000000e+00, 2415996892, 3.27680833424934099e+04, 1.99999491319083078e+00, 2169505363, 3.27680833424567827e+04, 1.00659743980894509e+04, 20185898243
26, 164044943949429, 3.27675957314198968e+04, 0.00000000000000000e+00, 544280049752, 3.27675957313832405e+04, 1.00761243121480893e+04, 1325630665, 3.27675957314198968e+04, 0.00000000000000000e+00, 683344745, 3.27675957314198968e+04, 0.00000000000000000e+00, 16287586653, 3.27675957314198968e+04, 0.00000000000000000e+00, 11012523067, 3.27675957314199004e+04, 1.00001233745018747e+00, 11764809883, 3.27675957314198968e+04, 0.00000000000000000e+00, 3709273355, 3.27675957314198931e+04, 1.00001233745018747e+00, 2418166069, 3.27675957314198968e+04, 0.00000000000000000e+00, 2177224609, 3.27675957313666695e+04, 1.46311805092336945e+04, 20189549193
27, 189221027838123, 3.27674345314019592e+04, 0.00000000000000000e+00, 544337928533, 3.27674345313489794e+04, 1.45632513141266936e+04, 1330992314, 3.27674345314019592e+04, 0.00000000000000000e+00, 687266755, 3.27674345314019592e+04, 0.00000000000000000e+00, 16295918639, 3.27674345314019592e+04, 0.00000000000000000e+00, 11046898132, 3.27674345314019592e+04, 0.00000000000000000e+00, 11796735339, 3.27674345314019592e+04, 0.00000000000000000e+00, 3730041470, 3.27674345314019592e+04, 0.00000000000000000e+00, 2423902280, 3.27674345314019629e+04, 1.00001725702991795e+00, 2154735766, 3.27674345313317972e+04, 1.92863328190789980e+04, 20220386026
28, 127895705221835, 3.27695583519037973e+04, 0.00000000000000000e+00, 544447151789, 3.27695583518790445e+04, 6.80367643670263806e+03, 1326668623, 3.27695583519037973e+04, 0.00000000000000000e+00, 684738469, 3.27695583519037973e+04, 0.00000000000000000e+00, 16250522463, 3.27695583519037973e+04, 0.00000000000000000e+00, 11017564018, 3.27695583519037973e+04, 0.00000000000000000e+00, 11770130585, 3.27695583519037973e+04, 0.00000000000000000e+00, 3704904606, 3.27695583519037900e+04, 1.99990489027120466e+00, 2423263977, 3.27695583519037973e+04, 0.00000000000000000e+00, 2148952173, 3.27695583518586063e+04, 1.24214092734744518e+04, 20178550149
29,  46173357579968, 3.27691255499919935e+04, 0.00000000000000000e+00, 544374987732, 3.27691255499655163e+04, 7.27775001612938286e+03, 1326716070, 3.27691255499920007e+04, 1.99993130424000620e+00, 682468316, 3.27691255499920007e+04, 1.99993130424000620e+00, 16251918493, 3.27691255499919935e+04, 0.00000000000000000e+00, 11004132807, 3.27691255499920007e+04, 1.99993130424000620e+00, 11758585896, 3.27691255499919935e+04, 0.00000000000000000e+00, 3702715179, 3.27691255499920007e+04, 1.99993130424000620e+00, 2428216984, 3.27691255499919935e+04, 0.00000000000000000e+00, 2169024286, 3.27691255499261970e+04, 1.80853787842423772e+04, 20185472068
30, 147595130650356, 3.27671755236717618e+04, 0.00000000000000000e+00, 544399557565, 3.27671755236374738e+04, 9.42523714858755557e+03, 1325569832, 3.27671755236717618e+04, 0.00000000000000000e+00, 655962949, 3.27671755236717618e+04, 0.00000000000000000e+00, 16264212936, 3.27671755236717618e+04, 0.00000000000000000e+00, 11021260207, 3.27671755236717654e+04, 1.00002516165385202e+00, 11765772787, 3.27671755236717618e+04, 0.00000000000000000e+00, 3712566059, 3.27671755236717618e+04, 0.00000000000000000e+00, 2418566782, 3.27671755236717618e+04, 0.00000000000000000e+00, 2195865098, 3.27671755236029858e+04, 1.89054756810660729e+04, 20167094582
31,  27472802710492, 3.27674747948765144e+04, 0.00000000000000000e+00, 544415871236, 3.27674747948519580e+04, 6.75010819065569467e+03, 1323580732, 3.27674747948765144e+04, 0.00000000000000000e+00, 655427589, 3.27674747948765144e+04, 0.00000000000000000e+00, 16281978047, 3.27674747948765144e+04, 0.00000000000000000e+00, 11036119772, 3.27674747948765216e+04, 2.00003205649057625e+00, 11800435470, 3.27674747948765144e+04, 0.00000000000000000e+00, 3706355077, 3.27674747948765144e+04, 0.00000000000000000e+00, 2423418229, 3.27674747948765144e+04, 0.00000000000000000e+00, 2154753486, 3.27674747948669137e+04, 2.63904229853931565e+03, 20178587864
